0,1,2,3,4,5
(0.3016721673923544+0j),(0.751777786919102+0j),(-10.165779079979657+0j),(-0.13586307627736513-0.03937067761070151j),(0.08007157985853608-0.04314021687859387j),(0.37001742388862535+0.15097312494509652j)
(0.2968767132767476+0j),(0.7709301580913365+0j),(-10.180146628028155+0j),(0.011082918066399244+0.06910932155352845j),(0.11381299792221389+0.03821101139608152j),(-0.0013284946119407337+0.12334703769760047j)
(0.2968767132767476+0j),(0.7757256487395614+0j),(-10.194513007032871+0j),(0.1365164393313253+0.020681363707802047j),(0.21053697365342483+0.11011118962802835j),(-0.22932611469953557+0.11595153292091087j)
(0.3160388934569433+0j),(0.7661445312499999+0j),(-10.1753605627954+0j),(0.06918154796649212-0.12564047214185567j),(0.023761557375161613+0.31344250282834996j),(-0.07000828470446141+0.11316134447856374j)
(0.3064578125+0j),(0.7565634137604386+0j),(-10.189717589449883+0j),(0.0288241482570461+0.2713532330064046j),(-0.09422532144142842-0.08321316966401715j),(0.14334486409693525+0.10861330056208196j)
(0.3064578125+0j),(0.7374110425882041+0j),(-10.146626635742187+0j),(0.053663954315759016-0.08311178397216429j),(0.039875886301527+0.0453557120057092j),(0.0038347174411148544+0.04765188907373741j)
(0.3016721673923544+0j),(0.742206533236429+0j),(-10.208879386037587+0j),(0.09026218077986442+0.12762242533600582j),(-0.07052708541613167-0.02736124403335405j),(-0.1987696496159277+0.06422865743651762j)
(0.3160388934569433+0j),(0.7469921600777656+0j),(-10.15620811855793+0j),(-0.06004475086242411-0.022979347729632615j),(0.02358480048876105-0.18573079883483234j),(-0.14929357781233765+0.2027316740586862j)
(0.3016721673923544+0j),(0.7613589044086635+0j),(-10.127474191504716+0j),(-0.03934226643871326+0.04605202068812858j),(-0.004969966956034966+0.03788680538960543j),(0.004765277231119747-0.04507992776799341j)
(0.2920910681691021+0j),(0.751777786919102+0j),(-10.141841739553213+0j),(0.07057959362438922-0.02423265430888283j),(0.04767548029333318-0.07558842978225144j),(0.18595774543668675+0.020877670373982582j)
(0.2920910681691021+0j),(0.751777786919102+0j),(-10.146626635742187+0j),(-0.03910243507434355+0.05607240116336998j),(0.13356611733140827+0.10432535193046955j),(-0.1303814577703739-0.039687770895888264j)
(0.3064578125+0j),(0.7661445312499999+0j),(-10.146626635742187+0j),(-0.11570543687857376+0.008138124046382977j),(0.052391285840537705+0.1078863381278391j),(0.1645420648466378-0.4967216559837446j)
(0.3016721673923544+0j),(0.7757256487395614+0j),(-10.218450347459315+0j),(0.1734894463642509-0.16910050300881235j),(-0.0417758649500003-0.2274931764939968j),(-0.21658261187645134+0.11418862963287246j)
(0.2968767132767476+0j),(0.7565634137604386+0j),(-10.15620811855793+0j),(-0.1310511830993158+0.005037589847378343j),(-0.14447282321133803-0.04967279513586975j),(0.34322298587070554-0.08170833197820215j)
(0.3064578125+0j),(0.751777786919102+0j),(-10.141841739553213+0j),(0.004756327681611651+0.028762879153066634j),(-0.07181399404072572-0.019162234979109072j),(-0.13406594061834984-0.20108488240258637j)
(0.2920910681691021+0j),(0.7278397889055311+0j),(-10.180146628028155+0j),(-0.1649239566626445+0.06940210117274553j),(0.010004270639784853-0.128693893013486j),(0.10612972395240838-0.20981381866426574j)
(0.31124347587395457+0j),(0.7757256487395614+0j),(-10.165779079979657+0j),(-0.01608651165119402-0.13180151930717005j),(-0.12028046007795483-0.16479102055065087j),(0.27758865864165516-0.19450276779166664j)
(0.2777243238382041+0j),(0.7374110425882041+0j),(-10.17056514521241+0j),(0.06999891978819969-0.06047461653446695j),(0.2022332677323016+0.018398256301118465j),(0.12911958719897254+0.15285860480369173j)
(0.31124347587395457+0j),(0.751777786919102+0j),(-10.1753605627954+0j),(-0.13591069613130763+0.08151399065682832j),(-0.12658947107472573+0.13088905420791663j),(-0.09981205813961536-0.07695035792208316j)
(0.3160388934569433+0j),(0.7565634137604386+0j),(-10.208879386037587+0j),(-0.10449712714635981-0.026423129141789847j),(0.01569089714632152+0.02039370966575682j),(-0.32853395121735485+0.027859038001922798j)
(0.3160388934569433+0j),(0.7661445312499999+0j),(-10.189717589449883+0j),(-0.18384314561020007+0.06996619457749953j),(0.09513189702831865-0.009716838094982139j),(-0.24050661015033725-0.06291305946965586j)
(0.3160388934569433+0j),(0.7709301580913365+0j),(-10.204083968454599+0j),(-0.12546479721055687-0.036359009057397695j),(-0.06059464072697868+0.0780335282793847j),(0.23274088283687444-0.007014683374316988j)
(0.28251977795381095+0j),(0.7709301580913365+0j),(-10.15141270097494+0j),(-0.091369037934913+0.010787994599744555j),(0.05559543167675818-0.015653190027942854j),(-0.21733939523117574+0.017432741614227254j)
